"filename", "language", "PowerShell", "Markdown", "JSON with Comments", "TypeScript", "XML", "CSS", "TypeScript JSX", "Rust", "TOML", "JSON", "HTML", "YAML", "Protocol Buffers", "comment", "blank", "total"
"e:\DEV\Rust\file-sharing-app\.github\workflows\main.yml", "YAML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 38, 0, 0, 3, 41
"e:\DEV\Rust\file-sharing-app\README.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"e:\DEV\Rust\file-sharing-app\launch.ps1", "PowerShell", 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2
"e:\DEV\Rust\file-sharing-app\package-lock.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, 0, 30267, 0, 0, 0, 0, 1, 30268
"e:\DEV\Rust\file-sharing-app\package.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, 0, 59, 0, 0, 0, 0, 1, 60
"e:\DEV\Rust\file-sharing-app\public\index.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 0, 0, 23, 1, 44
"e:\DEV\Rust\file-sharing-app\public\manifest.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, 0, 25, 0, 0, 0, 0, 1, 26
"e:\DEV\Rust\file-sharing-app\src-tauri\Cargo.toml", "TOML", 0, 0, 0, 0, 0, 0, 0, 0, 43, 0, 0, 0, 0, 5, 7, 55
"e:\DEV\Rust\file-sharing-app\src-tauri\build.rs", "Rust", 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 4, 10
"e:\DEV\Rust\file-sharing-app\src-tauri\src\client.rs", "Rust", 0, 0, 0, 0, 0, 0, 0, 753, 0, 0, 0, 0, 0, 0, 149, 902
"e:\DEV\Rust\file-sharing-app\src-tauri\src\client\codec.rs", "Rust", 0, 0, 0, 0, 0, 0, 0, 149, 0, 0, 0, 0, 0, 1, 39, 189
"e:\DEV\Rust\file-sharing-app\src-tauri\src\client\protobuf.rs", "Rust", 0, 0, 0, 0, 0, 0, 0, 468, 0, 0, 0, 0, 0, 0, 89, 557
"e:\DEV\Rust\file-sharing-app\src-tauri\src\client\tcpMessages.proto", "Protocol Buffers", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 115, 0, 23, 138
"e:\DEV\Rust\file-sharing-app\src-tauri\src\config.rs", "Rust", 0, 0, 0, 0, 0, 0, 0, 323, 0, 0, 0, 0, 0, 0, 80, 403
"e:\DEV\Rust\file-sharing-app\src-tauri\src\data.rs", "Rust", 0, 0, 0, 0, 0, 0, 0, 419, 0, 0, 0, 0, 0, 0, 77, 496
"e:\DEV\Rust\file-sharing-app\src-tauri\src\listen.rs", "Rust", 0, 0, 0, 0, 0, 0, 0, 56, 0, 0, 0, 0, 0, 0, 11, 67
"e:\DEV\Rust\file-sharing-app\src-tauri\src\main.rs", "Rust", 0, 0, 0, 0, 0, 0, 0, 130, 0, 0, 0, 0, 0, 0, 23, 153
"e:\DEV\Rust\file-sharing-app\src-tauri\src\mdns.rs", "Rust", 0, 0, 0, 0, 0, 0, 0, 130, 0, 0, 0, 0, 0, 0, 24, 154
"e:\DEV\Rust\file-sharing-app\src-tauri\src\server.rs", "Rust", 0, 0, 0, 0, 0, 0, 0, 786, 0, 0, 0, 0, 0, 0, 147, 933
"e:\DEV\Rust\file-sharing-app\src-tauri\src\window.rs", "Rust", 0, 0, 0, 0, 0, 0, 0, 108, 0, 0, 0, 0, 0, 0, 15, 123
"e:\DEV\Rust\file-sharing-app\src-tauri\src\window\commands.rs", "Rust", 0, 0, 0, 0, 0, 0, 0, 51, 0, 0, 0, 0, 0, 0, 16, 67
"e:\DEV\Rust\file-sharing-app\src-tauri\tauri.conf.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, 0, 110, 0, 0, 0, 0, 0, 110
"e:\DEV\Rust\file-sharing-app\src\App.css", "CSS", 0, 0, 0, 0, 0, 49, 0, 0, 0, 0, 0, 0, 0, 0, 14, 63
"e:\DEV\Rust\file-sharing-app\src\App.test.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 2, 10
"e:\DEV\Rust\file-sharing-app\src\App.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 160, 0, 0, 0, 0, 0, 0, 0, 27, 187
"e:\DEV\Rust\file-sharing-app\src\Components\DirectoryDetails.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 299, 0, 0, 0, 0, 0, 0, 0, 34, 333
"e:\DEV\Rust\file-sharing-app\src\Components\Menu.css", "CSS", 0, 0, 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 3, 18
"e:\DEV\Rust\file-sharing-app\src\Components\Menu.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 47, 0, 0, 0, 0, 0, 0, 0, 6, 53
"e:\DEV\Rust\file-sharing-app\src\Components\ResizableBox.css", "CSS", 0, 0, 0, 0, 0, 39, 0, 0, 0, 0, 0, 0, 0, 0, 7, 46
"e:\DEV\Rust\file-sharing-app\src\Components\ResizableBox.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 56, 0, 0, 0, 0, 0, 0, 0, 9, 65
"e:\DEV\Rust\file-sharing-app\src\RustCommands\ConnectedDevicesContext.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 45, 0, 0, 0, 0, 0, 0, 0, 15, 60
"e:\DEV\Rust\file-sharing-app\src\RustCommands\DownloadsManager.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 150, 0, 0, 0, 0, 0, 0, 0, 31, 181
"e:\DEV\Rust\file-sharing-app\src\RustCommands\ShareDirectoryContext.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 144, 0, 0, 0, 0, 0, 0, 0, 33, 177
"e:\DEV\Rust\file-sharing-app\src\RustCommands\networkCommands.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 62, 0, 0, 0, 0, 0, 0, 0, 13, 75
"e:\DEV\Rust\file-sharing-app\src\index.css", "CSS", 0, 0, 0, 0, 0, 30, 0, 0, 0, 0, 0, 0, 0, 0, 6, 36
"e:\DEV\Rust\file-sharing-app\src\index.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 34, 0, 0, 0, 0, 0, 0, 3, 7, 44
"e:\DEV\Rust\file-sharing-app\src\logo.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"e:\DEV\Rust\file-sharing-app\src\pages\Directories.css", "CSS", 0, 0, 0, 0, 0, 48, 0, 0, 0, 0, 0, 0, 0, 0, 10, 58
"e:\DEV\Rust\file-sharing-app\src\pages\Directories.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 395, 0, 0, 0, 0, 0, 0, 0, 53, 448
"e:\DEV\Rust\file-sharing-app\src\pages\Settings.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 116, 0, 0, 0, 0, 0, 0, 0, 15, 131
"e:\DEV\Rust\file-sharing-app\src\react-app-env.d.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2
"e:\DEV\Rust\file-sharing-app\src\reportWebVitals.ts", "TypeScript", 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 16
"e:\DEV\Rust\file-sharing-app\src\setupTests.ts", "TypeScript", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 1, 6
"e:\DEV\Rust\file-sharing-app\tsconfig.json", "JSON with Comments", 0, 0, 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 27
"Total", "-", 2, 0, 26, 14, 1, 181, 1516, 3379, 43, 30461, 20, 38, 115, 37, 1003, 36836
